id,job_title,location,connection,fit
1,ct bauer college business graduate magna cum laude aspiring human resources professional,"Houston, Texas",85,
2,native english teacher epik english program korea,Kanada,500,
3,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
4,people development coordinator ryan,"Denton, Texas",500,
5,advisory board member celal bayar university,"İzmir, Türkiye",500,
6,aspiring human resources specialist,Greater New York City Area,1,
7,student humber college aspiring human resources generalist,Kanada,61,
8,hr senior specialist,San Francisco Bay Area,500,
10,seeking human resources hris generalist positions,Greater Philadelphia Area,500,
11,student chapman university,"Lake Forest, California",2,
12,svp chro marketing communications csr officer engie houston woodlands energy gphr sphr,"Houston, Texas Area",500,
13,human resources coordinator intercontinental buckhead atlanta,"Atlanta, Georgia",500,
27,aspiring human resources management student seeking internship,"Houston, Texas Area",500,
28,seeking human resources opportunities,"Chicago, Illinois",390,
66,experienced retail manager aspiring human resources professional,"Austin, Texas Area",57,
67,human resources staffing recruiting professional,"Jackson, Mississippi Area",500,
68,human resources specialist luxottica,Greater New York City Area,500,
69,director human resources north america groupe beneteau,"Greater Grand Rapids, Michigan Area",500,
70,retired army national guard recruiter office manager seeking position human resources,"Virginia Beach, Virginia",82,
71,human resources generalist scottmadden inc,"Raleigh-Durham, North Carolina Area",500,
72,business management major aspiring human resources manager,"Monroe, Louisiana Area",5,
73,aspiring human resources manager seeking internship human resources,"Houston, Texas Area",7,
74,human resources professional,Greater Boston Area,16,
75,nortia staffing seeking human resources payroll administrative professionals,"San Jose, California",500,
76,aspiring human resources professional passionate helping create inclusive engaging work environment,"New York, New York",212,
77,human resourcesconflict managementpolicies procedurestalent managementbenefits compensation,Dallas/Fort Worth Area,409,
78,human resources generalist schwans,Amerika Birleşik Devletleri,500,
79,liberal arts major aspiring human resources analyst,"Baton Rouge, Louisiana Area",7,
80,junior mes engineer information systems,"Myrtle Beach, South Carolina Area",52,
81,senior human resources business partner heil environmental,"Chattanooga, Tennessee Area",455,
82,aspiring human resources professional energetic teamfocused leader,"Austin, Texas Area",174,
83,hr manager endemol shine north america,"Los Angeles, California",268,
84,human resources professional world leader gis software,"Highland, California",50,
85,rrp brand portfolio executive jti japan tobacco international,Greater Philadelphia Area,500,
86,information systems specialist programmer love data organization,"Gaithersburg, Maryland",4,
87,bachelor science biology victoria university wellington,"Baltimore, Maryland",40,
88,human resources management major,"Milpitas, California",18,
89,director human resources ey,Greater Atlanta Area,349,
90,undergraduate research assistant styczynski lab,Greater Atlanta Area,155,
91,lead official western illinois university,Greater Chicago Area,39,
92,seeking employment opportunities within customer service patient care,"Torrance, California",64,
93,admissions representative community medical center long beach,"Long Beach, California",9,
94,seeking human resources opportunities open travel relocation,Amerika Birleşik Devletleri,415,
95,student westfield state university,"Bridgewater, Massachusetts",57,
96,student indiana university kokomo business management retail manager delphi hardware paint,"Lafayette, Indiana",19,
97,aspiring human resources professional,"Kokomo, Indiana Area",71,
98,student,"Houston, Texas Area",4,
99,seeking human resources position,"Las Vegas, Nevada Area",48,
100,aspiring human resources manager graduating may seeking entrylevel human resources position st louis,"Cape Girardeau, Missouri",103,
101,human resources generalist loparex,"Raleigh-Durham, North Carolina Area",500,
102,business intelligence analytics travelers,Greater New York City Area,49,
103,always set success,Greater Los Angeles Area,500,
104,director administration excellence logging,"Katy, Texas",500,
