Change Number,ID(s),Change Type,Old Score,Updated Score,Old Rank,New Rank
1,81,Good,0.04673003498464823,0.4672049327476954,29.0,1.0
1,1,Good,0.1074680303223431,0.4559255458328488,12.0,4.0
1,76,Good,0.0507676194421947,0.44785854052044516,27.0,5.0
1,69,Good,0.015231487527489661,0.45816317666678763,51.0,3.0
1,79,Good,0.07793388394638895,0.4638854960251132,16.0,2.0
1,78,Bad,0.03180576667655259,0.09668611228551657,41.0,53.0
1,72,Bad,0.06056332094594836,0.20323027975088112,21.0,49.0
1,10,Bad,0.03593722160439938,0.12551886969818168,37.0,52.0
2,77,Good,0.24068264043574278,0.4913173184354731,34.0,1.0
2,1,Good,1.0,0.4559056429237537,1.0,4.0
